gene,id
AAAS,1
ACBD4,2
ACSS2,3
ACTR1A,4
ADAM11,5
ADAM15,6
AGAP3,7
AGBL5,8
AHCY,9
ALDH1A2,10
AMHR2,11
AMPD3,12
AMZ1,13
ANKHD1,14
ARHGAP27,15
ARL17B,16
AS3MT,17
ATAT1,18
ATP6V1G2.DDX39B,19
ATP8B2,20
ATXN7L3,21
BLK,22
BMPR2,23
BTN3A2,24
C17orf104,25
C17orf53,26
C2orf53,27
C3orf84,28
C6orf100,29
C8orf12,30
CALD1,31
CCDC157,32
CCDC43,33
CCDC63,34
CCDC82,35
CD14,36
CDC25A,37
CDKN2B,38
CELSR3,39
CENPA,40
CENPK,41
CEP250,42
CFHR2,43
CGREF1,44
COL7A1,45
CRB1,46
CRHR1,47
CUEDC2,48
CWC27,49
CYP20A1,50
CYSTM1,51
DAAM1,52
DBF4B,53
DHH,54
DIP2B,55
DMRTA2,56
EFNA1,57
EFNA3,58
EFTUD2,59
EIF4B,60
EIF4EBP3,61
EIF4G3,62
ELOVL1,63
EMILIN1,64
FAM109A,65
FAM117B,66
FAM167A,67
FBXL20,68
FBXO47,69
FBXW12,70
FDFT1,71
FIP1L1,72
FMNL1,73
FZD3,74
GAL3ST1,75
GATA4,76
GDF5,77
GFAP,78
GGT7,79
GIT1,80
GJC1,81
GNA12,82
GPANK1,83
GPATCH8,84
GPR113,85
GPR135,86
GRINA,87
GSS,88
HBEGF,89
HDAC5,90
HFE,91
HIGD1C,92
HIST1H1T,93
HIST1H2BJ,94
HIST1H2BK,95
HIST1H3J,96
HLA.DRA,97
HLA.G,98
HNRNPH1,99
HYI,100
IER5,101
IP6K2,102
IQCE,103
IRS1,104
KANSL1,105
KIAA0586,106
KIF18B,107
KIT,108
KLHDC4,109
KLHDC8B,110
KMT2D,111
KRT74,112
KXD1,113
LATS1,114
LRRC37A,115
LSM2,116
LTA,117
MAP3K12,118
MAPRE3,119
MAPT,120
MDC1,121
MED8,122
MICB,123
MLLT10,124
MSRA,125
MTAP,126
MTMR2,127
MUC1,128
MUSK,129
MYL2,130
NBEAL1,131
NCKIPSD,132
NCOA6,133
NEIL2,134
NEURL1,135
NEUROD2,136
NFKBIL1,137
NKAPL,138
NMT1,139
NOL12,140
NOP58,141
NSF,142
OR14J1,143
OR2B2,144
OR2B3,145
OR2J1,146
OR2J2,147
OR2J3,148
OR5V1,149
OR8S1,150
OST4,151
PARP10,152
PCBP2,153
PFDN1,154
PGBD1,155
PIK3C3,156
PLA2G2D,157
PLA2G3,158
PLCD3,159
PLEC,160
PLEKHM1,161
PLXNB1,162
PPWD1,163
PREB,164
PRKAR2A,165
PSD,166
RARG,167
RNF123,168
RNF157,169
SCAND3,170
SCFD2,171
SEMA3A,172
SERPIND1,173
SF3A1,174
SFR1,175
SH2D5,176
SH3PXD2A,177
SHE,178
SHISA5,179
SLC18A2,180
SLC25A39,181
SLC35D2,182
SLC35F6,183
SLC38A10,184
SLC50A1,185
SLC5A6,186
SP1,187
SP7,188
SPPL2C,189
SPRYD3,190
SRA1,191
SREK1,192
SREK1IP1,193
SSH2,194
STARD3,195
STH,196
STK19,197
SYT4,198
SZT2,199
TDRD10,200
THBS1,201
THOC5,202
TIMM9,203
TMCO6,204
TMEM190,205
TMEM89,206
TNKS,207
TRAIP,208
TRIM27,209
TRIM31,210
TRIM46,211
TRIM47,212
TRIP11,213
TTYH3,214
TUBA1A,215
TUBA1B,216
TUBA1C,217
UBE2Q1,218
UNK,219
UQCC1,220
UQCRC1,221
USP19,222
USP41,223
WDR12,224
WDR65,225
XKR6,226
XPR1,227
XRCC5,228
YEATS2,229
ZBTB7B,230
ZFP57,231
ZKSCAN3,232
ZKSCAN4,233
ZKSCAN8,234
ZNF165,235
ZNF311,236
ZNF696,237
ZSCAN16,238
ZSCAN23,239
ZSCAN31,240
ZSCAN9,241
